,SaleID,name,regDate,model,brand,bodyType,fuelType,gearbox,power,kilometer,notRepairedDamage,regionCode,seller,offerType,creatDate,price,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14
0,0,736,20040402,30.0,6,1.0,0.0,0.0,60,12.5,0.0,1046,0,0,20160404,1850,43.357796312505826,3.9663441656784544,0.050257094214176436,2.15974409399339,1.143786186793559,0.2356759066991101,0.10198824077953884,0.129548661418789,0.022816367400062692,0.097461828705762,-2.8818032385553165,2.8040967707208506,-2.4208207926122784,0.7952919433118377,0.9147624995703408
1,1,2262,20030301,40.0,1,2.0,0.0,0.0,0,15.0,,4366,0,0,20160309,3600,45.30527301812686,5.236111897708937,0.13792532384004388,1.3806574602893849,-1.4221649206603162,0.2647772555037097,0.12100359404116512,0.1357307068829055,0.02659744811826277,0.020581662632484482,-4.9004818817666775,2.0963376444273414,-1.0304828371563102,-1.7226737753851349,0.2455224109670493
2,2,14874,20040403,115.0,15,1.0,0.0,0.0,163,12.5,0.0,2806,0,0,20160402,6222,45.97835906231524,4.823792215285537,1.3195241517895064,-0.9984672739518792,-0.9969110347635859,0.25141014780875875,0.11491227654046415,0.16514749334496415,0.06217283730726245,0.027074824168305058,-4.846749260269903,1.803558941229932,1.5653296250457631,-0.8326873267265079,-0.22996285613259074
3,3,71865,19960908,109.0,10,0.0,0.0,1.0,193,15.0,0.0,434,0,0,20160312,2400,45.687478202385684,4.492574133926967,-0.05061584257537274,0.8835996711505136,-2.228078725239773,0.2742931709082824,0.11030008468643802,0.12196374573186793,0.033394547122199615,0.0,-4.509598823524796,1.2859397444845837,-0.5018679084368517,-2.4383527366881763,-0.4786993792688288
4,4,111080,20120103,110.0,5,1.0,0.0,0.0,68,5.0,0.0,6977,0,0,20160313,5200,44.38351084286087,2.0314332582276418,0.5721689478637533,-1.5712390275218755,2.246088325318186,0.2280356217997828,0.0732050535564685,0.09188047928262777,0.07881938473498606,0.12153424142524565,-1.8962402786050725,0.9107831337379366,0.9311095588151708,2.8345178203938377,1.9234819632780635
149995,149995,163978,20000607,121.0,10,4.0,0.0,1.0,163,15.0,0.0,4576,0,0,20160327,5900,45.31654260686533,-3.1390953335310376,-1.2697070486515685,-0.7366092280439196,-1.5058200547729377,0.2802637911746118,0.00031001254150217147,0.04844141041330373,0.07115765126672255,0.019174326971470576,1.9881139173851023,-2.9839725027340416,0.5891668319505525,-1.304370174671723,-0.3025923044498581
149996,149996,184535,20091102,116.0,11,0.0,0.0,0.0,125,10.0,0.0,2826,0,0,20160312,9500,45.97205783250649,-3.1437641924046367,-0.023522740900856952,-2.366699490664472,0.6980123863437804,0.25321745391614703,0.0007769869385599184,0.08407911285032098,0.09968070386553084,0.07937095211829573,1.8391662135240041,-2.7746148602321776,2.5539941048711805,0.9241955907284336,-0.27216033403120565
149997,149997,147587,20101003,60.0,11,1.0,1.0,0.0,90,6.0,0.0,3302,0,0,20160328,7500,44.733480963325945,-3.105720922466665,0.5954537445481083,-2.2790906937076616,1.4236613627858563,0.2333527582229704,0.0007050763649319122,0.11887186552527496,0.10011773537247108,0.09791413249825807,2.4398116363662594,-1.6306765692102978,2.290196996486067,1.89192230724646,0.4149308153456763
149998,149998,45907,20060312,34.0,10,3.0,1.0,0.0,156,15.0,0.0,1877,0,0,20160401,4999,45.658634031949155,-3.20478483800626,-0.4416798909426676,-1.179812240958165,0.6206804350091581,0.2563690408765875,0.0002518231110135429,0.08147883066829524,0.08355757961065269,0.08149849374845379,2.075380460355514,-2.6337189149675644,1.4149374195860898,0.4319805939018376,-1.659014277095331
149999,149999,177672,19990204,19.0,28,6.0,0.0,1.0,193,12.5,0.0,235,0,0,20160305,4700,45.53638328336232,-3.200326350379461,-1.6128930389119622,-0.06714411337648346,-1.3961662283049938,0.28447477541132205,0.0,0.040072011187251205,0.06254267416411961,0.025819356595480486,1.9784531267307133,-3.1799129269296538,0.03172350522158466,-1.4833496957157168,-0.3426743482277517
